domain	source	title_or_self_description	final_disposition	final_role	final_constraint	adjudication_basis	approval_state
GLOBAL_CONSTITUTIONAL	Genesis-012B-SPAN-Runtime-Integration/ADR-012B.md	# ADR-012B: Bounded SPAN Runtime Integration	ACTIVE_SUPPLEMENTAL_AUTHORITY		MUST_NOT_OVERRIDE_GENESIS92_RUNTIME_OR_RELEASE_AUTHORITY_WITHOUT_EXPLICIT_ADJUDICATION	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
GLOBAL_CONSTITUTIONAL	Genesis10_Work_Organization/04_reports/guardian/guardian_report.md	# Guardian Kernel™ Report	EVIDENTIARY_ONLY		MUST_NOT_OVERRIDE_GENESIS92_RUNTIME_OR_RELEASE_AUTHORITY_WITHOUT_EXPLICIT_ADJUDICATION	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
GLOBAL_CONSTITUTIONAL	Genesis10_Work_Organization/04_reports/repository/PHASE1_CLEANUP_REPORT.md	# AletheusOS Repository Cleanup — Phase 1	EVIDENTIARY_ONLY		MUST_NOT_OVERRIDE_GENESIS92_RUNTIME_OR_RELEASE_AUTHORITY_WITHOUT_EXPLICIT_ADJUDICATION	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
GLOBAL_CONSTITUTIONAL	docs/ARCHITECTURE/ALETHEUS_SPEC_2026_REM_v39_2_3.md	# ALETHEUSOS Genesis 39.2.3	HISTORICAL_ONLY		PRESERVE_AS_ARCHITECTURAL_LINEAGE_NOT_GOVERNING_AUTHORITY	USER_APPROVED_AMENDMENT	USER_APPROVED
GLOBAL_CONSTITUTIONAL	docs/ARCHITECTURE/GENESIS_39_2_1_ADVANCED_METROLOGY_AND_KINETIC_FIELD.md	# AletheusOS Genesis 39.2.1	ACTIVE_SUPPLEMENTAL_AUTHORITY		MUST_NOT_OVERRIDE_GENESIS92_RUNTIME_OR_RELEASE_AUTHORITY_WITHOUT_EXPLICIT_ADJUDICATION	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
GLOBAL_CONSTITUTIONAL	docs/ARCHITECTURE/GENESIS_39_LIGHTS_SIGHT_AXIOMUX_CANONICAL_ARCHITECTURE.md	# LIGHTS™ / SIGHT™ / AxiomUX™ Canonical Architecture	ACTIVE_SUPPLEMENTAL_AUTHORITY		MUST_NOT_OVERRIDE_GENESIS92_RUNTIME_OR_RELEASE_AUTHORITY_WITHOUT_EXPLICIT_ADJUDICATION	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
GLOBAL_CONSTITUTIONAL	docs/ARCHITECTURE/GENESIS_ARCHITECTURE_SPEC.md	# AletheusOS Genesis Architecture Specification	HISTORICAL_ONLY		PRESERVE_AS_ARCHITECTURAL_LINEAGE_NOT_GOVERNING_AUTHORITY	USER_APPROVED_AMENDMENT	USER_APPROVED
GLOBAL_CONSTITUTIONAL	docs/ARCHITECTURE/decisions/ADR-0004-crk-constitutional-boundary.md	# ADR-0004: Constitutional Runtime Kernel Boundary	ACTIVE_SUPPLEMENTAL_AUTHORITY		MUST_NOT_OVERRIDE_GENESIS92_RUNTIME_OR_RELEASE_AUTHORITY_WITHOUT_EXPLICIT_ADJUDICATION	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
GLOBAL_CONSTITUTIONAL	docs/CONSTITUTION.md	# AletheusOS Architectural Constitution	ACTIVE_DOMAIN_AUTHORITY	OPERATIVE_GLOBAL_ARCHITECTURAL_CONSTITUTION	GLOBAL_ARCHITECTURAL_CONSTITUTION;MUST_NOT_OVERRIDE_EXPLICIT_GENESIS92_RUNTIME_RELEASE_OR_TOOLCHAIN_AUTHORITY	USER_APPROVED_PASS2K_PROPOSAL_WITH_EXPLICIT_ROLE	USER_APPROVED
GLOBAL_CONSTITUTIONAL	docs/repository/docs_span_architecture.md	# SPAN™ Architecture	ACTIVE_SUPPLEMENTAL_AUTHORITY		MUST_NOT_OVERRIDE_GENESIS92_RUNTIME_OR_RELEASE_AUTHORITY_WITHOUT_EXPLICIT_ADJUDICATION	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
GLOBAL_CONSTITUTIONAL	docs/specifications/aletheusos_architecture_spec_v1.md	# AletheusOS™ Architecture Specification v1.0	HISTORICAL_ONLY		PRESERVE_AS_ARCHITECTURAL_LINEAGE_NOT_GOVERNING_AUTHORITY	USER_APPROVED_AMENDMENT	USER_APPROVED
MISSION_CONTROL	.aletheus_install_backups/genesis_62_82_before_85_0_0_20260805_080632/RELEASE_NOTES.md	# ALETHEUSOS Genesis 84.0.0 — Material Intelligence Polish	HISTORICAL_ONLY		MUST_PRESERVE_GENESIS84_VISUAL_ANCESTRY_AND_MC84F4D_FORWARD_BASELINE	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
MISSION_CONTROL	architecture/genesis_86_89/reference_architecture/REFERENCE_ARCHITECTURE.md	# ALETHEUSOS Reference Architecture — Genesis 86–89	ACTIVE_SUPPLEMENTAL_AUTHORITY		SUBORDINATE_TO_GENESIS92_WHERE_SCOPE_OVERLAPS_OR_CONFLICTS	USER_APPROVED_AMENDMENT	USER_APPROVED
PLATFORM_ARCHITECTURE	docs/ARCHITECTURE/README.md	# AletheusOS Architecture	ACTIVE_SUPPLEMENTAL_AUTHORITY		MUST_NOT_OVERRIDE_GENESIS92_RUNTIME_OR_RELEASE_AUTHORITY_WITHOUT_EXPLICIT_ADJUDICATION	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
REFERENCE_VOCABULARY	docs/ARCHITECTURE/library/card_hawk_experience_vocabulary.json	{	ACTIVE_SUPPLEMENTAL_AUTHORITY		MUST_PRESERVE_CURRENT_CANONICAL_TERMINOLOGY_INCLUDING_OPUS_MAMMOTH_TOUCHSTONE_RETIREMENT	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
REFERENCE_VOCABULARY	docs/ARCHITECTURE/library/card_hawk_vocabulary_source.json	{	ACTIVE_SUPPLEMENTAL_AUTHORITY		MUST_PRESERVE_CURRENT_CANONICAL_TERMINOLOGY_INCLUDING_OPUS_MAMMOTH_TOUCHSTONE_RETIREMENT	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
REPOSITORY_GOVERNANCE	docs/repository/REPOSITORY_CONSTITUTION.md	# AletheusOS Repository Constitution	ACTIVE_DOMAIN_AUTHORITY		DOMAIN_SCOPED_REPOSITORY_GOVERNANCE	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
SUBSYSTEM_CARDHAWK	ARCHITECTURE.md	# CardHawkOS Complete Canonical Architecture	ACTIVE_DOMAIN_AUTHORITY		DOMAIN_SCOPED_CARDHAWK_AUTHORITY	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
SUBSYSTEM_CARDHAWK	Genesis10_Work_Organization/04_reports/nimble/nimble_ui_foundation_audit.md	# Nimble™ UX Foundation Audit	EVIDENTIARY_ONLY		DOMAIN_SCOPED_CARDHAWK_AUTHORITY	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
SUBSYSTEM_CARDHAWK	Genesis10_Work_Organization/04_reports/repository/PHASE2_RUNTIME_SPINE_REPAIR.md	# Phase 2 Runtime Spine Repair	EVIDENTIARY_ONLY		DOMAIN_SCOPED_CARDHAWK_AUTHORITY	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
SUBSYSTEM_CARDHAWK	reports/architecture/kinekt/finding-resolution.json	{	EVIDENTIARY_ONLY		DOMAIN_SCOPED_CARDHAWK_AUTHORITY	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
SUBSYSTEM_CARDHAWK	reports/architecture/kinekt/finding-resolution.md	# Kinekt™ Finding Resolution	EVIDENTIARY_ONLY		DOMAIN_SCOPED_CARDHAWK_AUTHORITY	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
SUBSYSTEM_CARDHAWK	reports/repository/PHASE2_RUNTIME_SPINE_REPAIR.md	# Phase 2 Runtime Spine Repair	EVIDENTIARY_ONLY		DOMAIN_SCOPED_CARDHAWK_AUTHORITY	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
SUBSYSTEM_NIMBLE	aletheus/constitution/ARCHITECTURAL_CONSTITUTION.md	# AletheusOS Architectural Constitution	HISTORICAL_ONLY		NON_OPERATIVE_CONSTITUTIONAL_LINEAGE	USER_APPROVED_AMENDMENT	USER_APPROVED
SUBSYSTEM_NIMBLE	aletheus/constitution/FOUNDERS_VISION.md	# AletheusOS Founder's Vision	ACTIVE_SUPPLEMENTAL_AUTHORITY		DOMAIN_SCOPED_NIMBLE_AUTHORITY	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
SUBSYSTEM_NIMBLE	nimble/architecture/NIMBLE_ARCHITECTURE.md	# Nimble™ Experience Architecture	ACTIVE_DOMAIN_AUTHORITY		DOMAIN_SCOPED_NIMBLE_AUTHORITY	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
UNRESOLVED_DOMAIN	docs/ARCHITECTURE/ARCHITECTURAL_INTEGRITY.md	# Architectural Integrity Engine	ACTIVE_SUPPLEMENTAL_AUTHORITY		SPECIALIZED_SCOPE_ONLY_UNLESS_EXPLICIT_GLOBAL_AUTHORITY	USER_APPROVED_PASS2K_PROPOSAL	USER_APPROVED
